STATION,NAME,DATE,TAVG,TMAX,TMIN
US10box_007,"ALLIANCE 5.9 NE, NE US",5/1/2023,,,
US10box_007,"ALLIANCE 5.9 NE, NE US",5/10/2023,,,
US10box_007,"ALLIANCE 5.9 NE, NE US",5/12/2023,,,
US10box_007,"ALLIANCE 5.9 NE, NE US",5/29/2023,,,
US10box_007,"ALLIANCE 5.9 NE, NE US",6/1/2023,,,
US10box_007,"ALLIANCE 5.9 NE, NE US",6/2/2023,,,
US10box_007,"ALLIANCE 5.9 NE, NE US",6/23/2023,,,
US10box_007,"ALLIANCE 5.9 NE, NE US",6/24/2023,,,
US10box_007,"ALLIANCE 5.9 NE, NE US",6/30/2023,,,
US10box_007,"ALLIANCE 5.9 NE, NE US",7/22/2023,,,
US10box_007,"ALLIANCE 5.9 NE, NE US",7/29/2023,,,
US10box_007,"ALLIANCE 5.9 NE, NE US",7/31/2023,,,
US10box_007,"ALLIANCE 5.9 NE, NE US",8/4/2023,,,
US10box_007,"ALLIANCE 5.9 NE, NE US",8/7/2023,,,
US10box_007,"ALLIANCE 5.9 NE, NE US",8/8/2023,,,
US10box_007,"ALLIANCE 5.9 NE, NE US",8/22/2023,,,
US10box_007,"ALLIANCE 5.9 NE, NE US",9/4/2023,,,
US10box_007,"ALLIANCE 5.9 NE, NE US",9/10/2023,,,
US10box_007,"ALLIANCE 5.9 NE, NE US",9/11/2023,,,
US10box_007,"ALLIANCE 5.9 NE, NE US",9/23/2023,,,
US10box_007,"ALLIANCE 5.9 NE, NE US",10/3/2023,,,
US10box_007,"ALLIANCE 5.9 NE, NE US",10/13/2023,,,
US10box_007,"ALLIANCE 5.9 NE, NE US",3/31/2024,,,
US10box_007,"ALLIANCE 5.9 NE, NE US",4/1/2024,,,
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",4/25/2023,45,58,32
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",4/26/2023,50.5,65,36
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",4/27/2023,52.5,67,38
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",4/28/2023,42,57,27
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",4/29/2023,47,69,25
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",4/30/2023,40.5,61,20
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",5/1/2023,43.5,67,20
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",5/2/2023,44.5,69,20
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",5/3/2023,60.5,83,38
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",5/4/2023,56.5,79,34
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",5/5/2023,60.5,76,45
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",5/6/2023,57.5,73,42
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",5/7/2023,52,69,35
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",5/8/2023,56,76,36
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",5/9/2023,59,75,43
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",5/10/2023,63,75,51
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",5/11/2023,55.5,59,52
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",5/12/2023,56,60,52
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",5/13/2023,55.5,60,51
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",5/14/2023,51,52,50
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",5/15/2023,56.5,68,45
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",5/16/2023,60.5,76,45
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",5/17/2023,61,78,44
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",5/18/2023,55,64,46
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",5/19/2023,50.5,63,38
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",5/20/2023,55,74,36
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",5/21/2023,59.5,79,40
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",5/22/2023,61,79,43
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",5/23/2023,64,77,51
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",5/24/2023,63.5,76,51
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",5/25/2023,64,77,51
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",5/26/2023,65.5,75,56
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",5/27/2023,65.5,77,54
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",5/28/2023,64.5,79,50
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",5/29/2023,65,84,46
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",5/30/2023,63.5,84,43
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",5/31/2023,65,80,50
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",6/1/2023,61.5,72,51
